temp obj ,temp amb,tempo
nan,nan,3025s
nan,nan,3035s
nan,nan,3045s
nan,nan,3055s
nan,nan,3065s
nan,nan,3075s
nan,nan,3085s
nan,nan,3095s
nan,nan,3105s
nan,nan,3115s
nan,nan,3125s
nan,nan,3136s
nan,nan,3146s
nan,nan,3156s
nan,nan,3166s
nan,nan,3176s
nan,nan,3186s
nan,nan,3196s
nan,nan,3206s
nan,nan,3216s
nan,nan,3226s
nan,nan,3236s
nan,nan,3246s
nan,nan,3256s
nan,nan,3266s
nan,nan,3277s
nan,nan,3287s
nan,nan,3297s
nan,nan,3307s
nan,nan,3317s
nan,nan,3327s
nan,nan,3337s
nan,nan,3347s
nan,nan,3357s
nan,nan,3367s
nan,nan,3377s
nan,nan,3387s
nan,nan,3397s
nan,nan,3407s
nan,nan,3417s
nan,nan,3428s
nan,nan,3438s
nan,nan,3448s
nan,nan,3458s
nan,nan,3468s
nan,nan,3478s
nan,nan,3488s
nan,nan,3498s
nan,nan,3508s
nan,nan,3518s
nan,nan,3528s
nan,nan,3538s
nan,nan,3548s
nan,nan,3558s
nan,nan,3569s
nan,nan,3579s
nan,nan,3589s
nan,nan,3599s
nan,nan,3609s
nan,nan,3619s
nan,nan,3629s
nan,nan,3639s
nan,nan,3649s
nan,nan,3659s
nan,nan,3669s
nan,nan,3679s
nan,nan,3689s
nan,nan,3699s
nan,nan,3709s
nan,nan,3720s
nan,nan,3730s
nan,nan,3740s
nan,nan,3750s
nan,nan,3760s
nan,nan,3770s
nan,nan,3780s
nan,nan,3790s
nan,nan,3800s
nan,nan,3810s
nan,nan,3820s
nan,nan,3830s
nan,nan,3840s
nan,nan,3850s
nan,nan,3860s
nan,nan,3871s
nan,nan,3881s
nan,nan,3891s
nan,nan,3901s
nan,nan,3911s
nan,nan,3921s
nan,nan,3931s
nan,nan,3941s
nan,nan,3951s
nan,nan,3961s
nan,nan,3971s
nan,nan,3981s
nan,nan,3991s
nan,nan,4001s
nan,nan,4011s
nan,nan,4022s
nan,nan,4032s
nan,nan,4042s
nan,nan,4052s
nan,nan,4062s
nan,nan,4072s
nan,nan,4082s
nan,nan,4092s
nan,nan,4102s
nan,nan,4112s
27.96,27.26,4122s
27.98,27.29,4133s
27.99,27.32,4143s
28.01,27.34,4153s
28.02,27.39,4163s
28.00,27.40,4173s
28.00,27.41,4183s
28.00,27.42,4193s
28.80,27.45,4203s
30.05,27.49,4213s
30.91,27.50,4223s
32.45,27.59,4233s
33.38,27.66,4244s
33.77,27.73,4254s
33.93,27.83,4264s
33.94,27.91,4274s
34.16,28.02,4284s
34.13,28.14,4294s
33.97,28.27,4304s
34.00,28.39,4314s
33.78,28.50,4324s
33.85,28.59,4334s
33.75,28.71,4344s
33.75,28.80,4355s
33.75,28.89,4365s
33.88,28.98,4375s
33.78,29.07,4385s
33.50,29.16,4395s
33.52,29.21,4405s
33.35,29.26,4415s
33.23,29.31,4425s
33.19,29.36,4435s
32.38,29.42,4445s
32.00,29.44,4455s
33.65,29.48,4466s
33.89,29.52,4476s
34.18,29.58,4486s
34.48,29.67,4496s
34.41,29.74,4506s
35.03,29.87,4516s
35.63,30.00,4526s
36.15,30.15,4536s
36.78,30.33,4546s
37.85,30.56,4556s
38.92,30.85,4566s
39.47,31.11,4577s
40.64,31.39,4587s
41.93,31.76,4597s
43.76,32.26,4607s
45.73,32.71,4617s
46.43,33.20,4627s
47.64,33.69,4637s
48.76,34.21,4647s
49.72,34.67,4657s
50.23,35.23,4667s
50.54,35.72,4678s
50.96,36.13,4688s
51.16,36.52,4698s
51.27,36.95,4708s
52.00,37.61,4718s
52.23,38.27,4728s
52.99,38.83,4738s
53.71,39.36,4748s
54.85,39.95,4758s
54.99,40.50,4768s
55.54,41.09,4778s
56.03,41.67,4789s
56.66,42.20,4799s
57.07,42.67,4809s
57.50,43.11,4819s
57.73,43.72,4829s
58.19,44.27,4839s
58.23,44.82,4849s
58.36,45.34,4859s
58.82,45.85,4869s
59.20,46.35,4879s
59.78,46.84,4889s
59.95,47.32,4900s
60.10,47.83,4910s
59.90,48.29,4920s
60.10,48.73,4930s
60.02,49.13,4940s
nan,nan,4950s
nan,nan,4960s
nan,nan,4970s
nan,nan,4980s
61.31,51.11,4990s
61.52,51.49,5000s
nan,nan,5011s
nan,nan,5021s
62.20,nan,5031s
62.65,52.77,5041s
64.52,52.98,5051s
64.40,53.24,5061s
64.32,53.50,5071s
63.86,53.78,5081s
63.20,54.05,5091s
62.85,54.27,5101s
61.78,54.50,5111s
61.31,54.71,5122s
